Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP

"C1","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C10","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C11","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C12","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C13","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C2","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C3","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C4","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C5","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C6","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C7","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C8","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"C9","LCA016","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CT1","LCA039","COM","","","","50","-20","27","3.3","0","3.3","","",""
"CE1","LCA071","COM","","","","50","-20","27","0","0","0","","",""
"CN1","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"CN2","LCN305","COM","","","","50","-20","27","16","0","12","0","0","0"
"IC4","LIC165","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC5","LIC233","COM","","","","50","-20","27","0","0","0","","",""
"IC1","LIC393","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC2","LIC393","COM","","","","50","-20","27","3.3","0","3.3","","",""
"IC3","LIC571","","","","","","","","","","","","",""
"R1","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R2","LRE030","COM","","0","0","50","-20","27","0","0","0","","",""
"R3","LRE058","COM","","0","0","50","-20","27","0","0","0","","",""
"R4","LRE058","COM","","0","0","50","-20","27","0","0","0","","",""
